EX,EM,69r0,69r2,69r8,69r32,69r128,69r512
650,"782,062","24,926","4,478,621","1,960,998","7,380,804","2,349,312","3,122,852"
650,"786,831","-1,586,428","-6,771,213","-3,580,957","1,603,313","-986,821","2,800,618"
650,"791,601","-990,327","610,111","-1,390,932","-2,788,575","-2,188,293","1,810,843"
650,"796,371","9,308,013","60,122","10,750,863","498,238","5,188,281","6,012,442"
650,"801,143","513,601","3,557,484","1,528,214","6,090,456","3,175,131","25,964"
650,"805,915","3,068,912","3,449,334","6,620,192","6,111,001","2,562,347","2,561,123"
650,"810,688","2,409,452","1,014,645","1,902,517","-3,422,029","-253,454","12,688"
650,"815,461","2,790,799","-379,602","-1,901,631","-505,989","2,535,537","-1,902,364"
650,"820,236","-506,346","1,396,026","-252,783","1,648,622","1,394,992","3,045,967"
650,"825,011","509,067","-505,543","1,523,785","1,903,084","-3,926,558",168
640,"246,67",0,0,0,0,0,0
640,"251,159",0,0,0,0,0,0
640,"255,652",0,0,0,0,0,0
640,"260,149",0,0,0,0,0,0
640,"264,65",0,0,0,0,0,0
640,"269,154",0,0,0,0,0,0
640,"273,662",0,0,0,0,0,0
640,"278,174",0,0,0,0,0,0
640,"282,689",0,0,0,0,0,0
640,"287,208",0,0,0,0,0,0
640,"291,73",0,0,0,0,0,0
640,"296,256",0,0,0,0,0,0
640,"300,786",0,0,0,0,0,0
640,"305,319",0,0,0,0,0,0
640,"309,855",0,0,0,0,0,0
640,"314,395",0,0,0,0,0,0
640,"318,939",0,0,0,0,0,0
640,"323,486",0,0,0,0,0,0
640,"328,036",0,0,0,0,0,0
640,"332,59",0,0,0,0,0,0
640,"337,147",0,0,0,0,0,0
640,"341,708",0,0,0,0,0,0
640,"346,272",0,0,0,0,0,0
640,"350,839",0,0,0,0,0,0
640,"355,409",0,0,0,0,0,0
640,"359,983",0,0,0,0,0,0
640,"364,56",0,0,0,0,0,0
640,"369,14",0,0,0,0,0,0
640,"373,724",0,0,0,0,0,0
640,"378,31",0,0,0,0,0,0
640,"382,9",0,0,0,0,0,0
640,"387,493",0,0,0,0,0,0
640,"392,089",0,0,0,0,0,0
640,"396,689",0,0,0,0,0,0
640,"401,291",0,0,0,0,0,0
640,"405,896",0,0,0,0,0,0
640,"410,505",0,0,0,0,0,0
640,"415,116",0,0,0,0,0,0
640,"419,731",0,0,0,0,0,0
640,"424,348",0,0,0,0,0,0
640,"428,968",0,0,0,0,0,0
640,"433,592",0,0,0,0,0,0
640,"438,218",0,0,0,0,0,0
640,"442,847",0,0,0,0,0,0
640,"447,479",0,0,0,0,0,0
640,"452,114",0,0,0,0,0,0
640,"456,751",0,0,0,0,0,0
640,"461,392",0,0,0,0,0,0
640,"466,035",0,0,0,0,0,0
640,"470,681",0,0,0,0,0,0
640,"475,329",0,0,0,0,0,0
640,"479,98",0,0,0,0,0,0
640,"484,634",0,0,0,0,0,0
640,"489,291",0,0,0,0,0,0
640,"493,95",0,0,0,0,0,0
640,"498,612",0,0,0,0,0,0
640,"503,276",0,0,0,0,0,0
640,"507,943",0,0,0,0,0,0
640,"512,612",0,0,0,0,0,0
640,"517,284",0,0,0,0,0,0
640,"521,959",0,0,0,0,0,0
640,"526,635",0,0,0,0,0,0
640,"531,314",0,0,0,0,0,0
640,"535,996",0,0,0,0,0,0
640,"540,68",0,0,0,0,0,0
640,"545,366",0,0,0,0,0,0
640,"550,055",0,0,0,0,0,0
640,"554,746",0,0,0,0,0,0
640,"559,439",0,0,0,0,0,0
640,"564,134",0,0,0,0,0,0
640,"568,832",0,0,0,0,0,0
640,"573,532",0,0,0,0,0,0
640,"578,234",0,0,0,0,0,0
640,"582,938",0,0,0,0,0,0
640,"587,644",0,0,0,0,0,0
640,"592,352",0,0,0,0,0,0
